Customer Account # / Cliente,Average of Kg Surtigo
11659196,3.35
11659370,3.88
11659383,18.26
11659386,11.96
11659395,1.94
11659561,3.10
11659563,3.00
11659564,5.92
11659649,6.03
11659747,4.83
11659748,20.39
11659765,2.26
11659772,1.28
11659779,1.48
11659783,5.47
11659800,1.92
11659804,5.36
11659879,3.18
11659900,3.01
11659901,1.33
11659925,2.62
11659939,2.39
11659983,1.96
11660031,2.90
11660033,1.14
11660078,1.96
11660125,3.27
11660133,10.82
11660264,2.64
11660272,2.08
11660566,2.58
11660587,3.37
11660594,0.87
11660595,1.62
11660608,2.50
11660740,4.90
11660847,10.10
11660851,7.54
11660852,1.91
11660951,1.58
11660953,7.28
11660966,270.53
11660968,3.22
11660972,1.38
11660974,5.27
11660976,3.22
11661087,3.12
11661221,1.12
11661223,1.78
11661224,2.12
11661237,4.39
11661239,2.91
11661310,5.93
11661313,7.69
11661407,6.85
11661546,2.05
11661705,5.66
11661709,3.04
11661718,5.67
11661728,3.46
11661730,3.06
11661816,5.50
11661891,2.13
11661894,2.66
11661895,4.15
11661897,10.03
11661902,1.60
11661903,1.71
11661904,2.55
11662043,9.82
11662044,2.92
11662045,3.45
11662052,2.32
11662132,7.76
11662133,3.72
11662135,3.27
11662351,4.95
11662352,1.45
11662354,1.50
11662420,14.53
11662519,2.70
11662521,0.00
11662575,6.58
11662580,5.67
11662597,2.76
11662713,2.33
11662720,9.04
11662725,2.39
11662730,2.59
11662731,3.18
11662734,4.26
11662735,2.26
11662905,8.51
11662907,2.05
11662911,7.54
11662921,2.90
11662935,5.07
11663018,9.79
11663033,2.73
11663042,2.52
11663045,2.10
11663047,4.11
11663103,13.35
11663127,2.41
11663206,1.45
11663207,2.61
11663208,4.12
11663215,2.51
11663216,5.89
11663232,4.01
11663311,11.10
11663315,1.89
11663318,3.46
11663324,15.09
11663333,3.25
11663528,4.44
11663619,3.20
11663635,9.14
11663644,3.61
11663646,2.71
11663702,2.54
11663711,5.12
11663717,1.60
11663720,3.40
11663724,1.93
11663729,19.18
11663732,19.64
11663791,2.33
11663792,1.93
11663798,2.42
11663814,5.80
11663902,1.18
11663904,2.06
11663907,4.42
11663909,14.68
11663910,8.01
11663914,4.89
11663920,4.91
11664142,2.15
11664145,3.13
11664162,4.44
11664223,14.16
11664226,6.52
11664227,4.20
11664228,11.62
11664238,3.84
11664835,3.20
11664848,10.99
11664850,1.77
11665145,2.22
11665147,7.02
11665150,1.72
11665283,5.93
11665286,3.29
11665293,1.84
11665294,19.78
11665297,1.99
11665299,1.80
11665391,5.90
11665392,4.74
11665394,3.81
11665458,1.66
11665472,1.61
11665559,5.08
11665564,2.30
11665670,4.90
11665671,1.48
11665676,2.69
11665861,3.10
11665868,2.07
11665963,11.58
11665989,2.81
11666040,5.05
11666047,5.54
11666171,6.73
11666178,5.02
11666182,2.02
11666278,6.82
11666279,2.05
11666405,2.16
11666431,24.37
11666438,3.97
11666549,2.60
11666558,1.49
11666559,3.00
11666567,4.05
11666640,3.99
11666641,4.73
11666649,2.59
11666654,0.18
11666696,2.67
11666698,7.85
11666721,2.43
11666724,1.76
11666729,4.60
11666731,1.94
11666736,1.89
11666842,5.73
11666856,2.10
11666858,2.50
11667003,4.38
11667007,2.15
11667014,2.25
11667021,3.52
11667023,5.52
11667093,20.71
11667095,12.33
11667188,3.04
11667196,2.02
11667265,4.59
11667272,2.49
11667275,2.06
11667287,4.79
11667378,1.87
11667390,2.91
11667399,5.67
11667578,3.65
11667589,3.31
11667648,4.61
11667649,1.64
11667656,3.06
11667668,10.60
11667672,2.76
11667688,2.83
11667760,2.79
11667765,6.61
11667857,3.45
11667869,2.70
11667872,2.83
11668125,2.55
11668127,1.67
11668132,3.76
11668138,5.90
11668149,2.33
11668152,2.79
11668153,1.81
11668155,3.27
11668157,19.73
11668311,7.78
11668385,9.12
11668386,11.70
11668387,7.34
11668396,3.35
11668483,2.64
11668486,6.38
11668487,4.59
11668488,15.12
11668497,1.60
11668498,1.49
11668534,3.47
11668647,13.17
11668879,2.12
11668881,2.65
11668964,5.11
11669029,2.67
11669030,2.48
11669035,1.72
11669250,3.78
11669252,10.90
11669253,3.74
11669323,4.65
11669387,2.38
11669461,2.48
11669656,1.78
11669659,4.35
11669660,1.99
11669722,12.42
11669723,2.85
11669732,12.76
11669896,2.37
11670010,1.71
11670018,1.29
11670019,2.11
11670022,3.13
11670072,2.24
11670073,3.16
11670074,17.92
11670075,1.74
11670269,4.08
11670373,4.71
11670615,1.69
11670630,2.35
11670679,4.63
11670704,1.51
11670998,2.36
11671108,8.91
11671109,0.86
11671183,2.81
11671254,5.53
11671271,4.58
11671340,1.23
11671461,3.29
11671577,8.97
11671579,12.51
11671582,3.40
11671679,1.72
11671784,2.05
11671978,3.16
11671991,4.12
11671992,27.53
11671994,7.25
11671996,5.89
11671997,6.00
11672251,1.67
11672286,20.20
11672371,9.07
11672383,2.34
11672531,2.11
11672533,1.93
11672600,1.22
11672607,7.18
11672693,1.38
11672760,2.30
11672868,3.08
11672869,10.40
11673123,2.00
11673218,5.40
11673336,3.52
11673364,7.69
11673468,2.85
11673582,2.06
11673739,2.91
11673976,1.52
11674131,2.58
11674196,13.08
11674271,14.15
11674481,6.00
11674483,2.88
11674486,15.38
11674562,2.11
11674563,9.01
11674642,2.03
11674652,4.59
11674654,15.64
11674719,2.21
11674723,21.90
11674725,21.44
11674825,2.22
11674826,2.34
11675008,2.40
11675021,7.88
11675087,2.97
11675109,8.84
11675266,3.16
11675271,2.07
11675497,1.90
11675498,2.18
11675585,8.09
11675677,8.19
11675772,3.18
11675774,1.22
11675775,2.15
11675778,9.09
11675958,4.04
11675962,9.63
11675963,8.23
11675964,2.20
11675965,4.38
11675966,2.74
11676106,3.19
11676107,3.72
11676199,6.57
11676201,3.54
11676202,3.92
11676373,2.01
11676425,3.61
11676426,3.36
11676427,3.68
11676428,1.99
11676429,9.98
11676430,4.33
11676482,2.85
11676489,4.99
11676557,2.93
11676561,7.26
11676562,3.59
11676640,7.28
11676648,0.84
11676821,2.25
11676822,1.30
11676823,6.09
11676880,1.69
11676887,9.81
11676888,2.69
11676967,3.29
11677057,2.12
11677115,1.74
11677120,1.28
11677122,2.15
11677256,2.43
11677349,7.30
11677359,3.77
11677435,5.66
11677440,2.37
11677527,3.71
11677529,7.33
11677601,8.03
11677778,3.54
11677799,6.14
11677804,1.99
11677834,5.41
11677836,4.09
11677876,4.22
11677881,1.83
11677913,230.51
11677914,0.97
11677988,2.08
11677992,1.86
11678077,4.27
11678117,1.72
11678227,9.82
11678310,7.97
11678383,5.92
11678387,2.16
11678388,1.75
11678394,36.16
11678460,11.51
11678540,1.47
11678544,11.37
11678672,4.38
11678678,4.67
11678746,16.85
11678747,2.79
11678833,3.10
11678892,7.76
11678894,1.63
11679094,2.89
11679150,2.24
11679151,36.28
11679206,1.27
11679361,13.13
11679377,7.90
11679579,8.97
11679582,2.95
11679692,4.07
11679943,5.19
